id,group,area_red_neurite,area_red_soma,neurite_auto_count_total,neurite_auto_count_red,neurite_auto_count_yellow,soma_auto_count_total,soma_red_auto,soma_yellow_auto,n_projection,axonal termination,avg_area_red_neurite,avg_area_red_soma,avg_area_red_cell,avg_cell_auto_count_red,avg_cell_auto_count_yellow,avg_cell_count_sum,avg_cell_auto_count,avg_neurite_auto_count_total,avg_neurite_auto_count_red,avg_neurite_auto_count_yellow,avg_neurite_count_sum,avg_soma_auto_count_total,avg_soma_red_auto,avg_soma_yellow_auto,avg_soma_count_sum,avg_n_projection,avg_axonal_termination,original_fn,temperature,genotype
153398,daf-2(e1370) 25C,0,3.26,0,0,0,9,5,4,0,0,0,3.26,3.26,5,4,9,9,0,0,0,0,9,5,4,9,0,0,"AMH117 25C, animal 48.oir",25°C,daf-2(e1370)
187409,daf-2(e1370) 25C,0,3.24,0,0,0,7,6,1,0,0,0,1.62,1.62,3,0.5,3.5,3.5,0,0,0,0,3.5,3,0.5,3.5,0,0,"AMH117 25C, animal 27.oir",25°C,daf-2(e1370)
189387,daf-2(e1370) 25C,0,1.03,0,0,0,5,4,1,0,0,0,1.03,1.03,4,1,5,5,0,0,0,0,5,4,1,5,0,0,"AMH117 25C, animal 43.oir",25°C,daf-2(e1370)
228682,daf-2(e1370) 25C,0,3.42,0,0,0,9,1,8,0,0,0,1.71,1.71,0.5,4,4.5,4.5,0,0,0,0,4.5,0.5,4,4.5,0,0,"AMH117 25C, animal 22.oir",25°C,daf-2(e1370)
234236,daf-2(e1370) 25C,0.04,3.94,1,0,1,15,12,3,0,0,0.02,1.97,1.99,6,2,8,8,0.5,0,0.5,0.5,7.5,6,1.5,7.5,0,0,"AMH117 25C, animal 35.oir",25°C,daf-2(e1370)
244526,daf-2(e1370) 25C,0,2.98,0,0,0,11,5,6,0,0,0,1.49,1.49,2.5,3,5.5,5.5,0,0,0,0,5.5,2.5,3,5.5,0,0,"AMH117 25C, animal 31.oir",25°C,daf-2(e1370)
268673,daf-2(e1370) 25C,0.37,3.98,2,2,0,10,13,1,0,0,0.185,1.99,2.175,7.5,0.5,8,6,1,1,0,1,5,6.5,0.5,7,0,0,"AMH117 25C, animal 15.oir",25°C,daf-2(e1370)
313382,daf-2(e1370) 25C,0.04,3.54,1,1,0,10,8,1,0,0,0.02,1.77,1.79,4.5,0.5,5,5.5,0.5,0.5,0,0.5,5,4,0.5,4.5,0,0,"AMH117 25C, animal 33.oir",25°C,daf-2(e1370)
317142,daf-2(e1370) 25C,0,3.86,0,0,0,10,9,4,0,0,0,1.93,1.93,4.5,2,6.5,5,0,0,0,0,5,4.5,2,6.5,0,0,"AMH117 25C, animal 42.oir",25°C,daf-2(e1370)
319082,daf-2(e1370) 25C,0,4.14,0,0,0,6,5,3,0,0,0,2.07,2.07,2.5,1.5,4,3,0,0,0,0,3,2.5,1.5,4,0,0,"AMH117 25C, animal 21.oir",25°C,daf-2(e1370)
326563,daf-2(e1370) 25C,0,2.48,0,0,0,14,14,0,0,0,0,1.24,1.24,7,0,7,7,0,0,0,0,7,7,0,7,0,0,"AMH117 25C, animal 26.oir",25°C,daf-2(e1370)
330627,daf-2(e1370) 25C,0,3.5,0,0,0,8,4,10,0,0,0,1.75,1.75,2,5,7,4,0,0,0,0,4,2,5,7,0,0,"AMH117 25C, animal 49.oir",25°C,daf-2(e1370)
382718,daf-2(e1370) 25C,0,3.31,0,0,0,8,6,2,0,0,0,1.655,1.655,3,1,4,4,0,0,0,0,4,3,1,4,0,0,"AMH117 25C, animal 19.oir",25°C,daf-2(e1370)
407377,daf-2(e1370) 25C,0,2.59,0,0,0,9,3,6,0,0,0,1.295,1.295,1.5,3,4.5,4.5,0,0,0,0,4.5,1.5,3,4.5,0,0,"AMH117 25C, animal 46.oir",25°C,daf-2(e1370)
413334,daf-2(e1370) 25C,0,1.87,0,0,0,4,3,1,0,0,0,1.87,1.87,3,1,4,4,0,0,0,0,4,3,1,4,0,0,"AMH117 25C, animal 30.oir",25°C,daf-2(e1370)
427426,daf-2(e1370) 25C,0,5.9,0,0,0,24,21,3,1,0,0,2.95,2.95,10.5,1.5,12,12,0,0,0,0,12,10.5,1.5,12,0.5,0,"AMH117 25C, animal 18.oir",25°C,daf-2(e1370)
449910,daf-2(e1370) 25C,0,2.73,0,0,0,1,1,0,0,0,0,2.73,2.73,1,0,1,1,0,0,0,0,1,1,0,1,0,0,"AMH117 25C, animal 25.oir",25°C,daf-2(e1370)
467770,daf-2(e1370) 25C,0,3.21,0,0,0,16,10,5,1,0,0,1.605,1.605,5,2.5,7.5,8,0,0,0,0,8,5,2.5,7.5,0.5,0,"AMH117 25C, animal 41.oir",25°C,daf-2(e1370)
536066,daf-2(e1370) 25C,0,2.27,0,0,0,7,2,5,0,1,0,2.27,2.27,2,5,7,7,0,0,0,0,7,2,5,7,0,1,"AMH117 25C, animal 38.oir",25°C,daf-2(e1370)
557481,daf-2(e1370) 25C,0,2.9,0,0,0,6,4,3,0,0,0,1.45,1.45,2,1.5,3.5,3,0,0,0,0,3,2,1.5,3.5,0,0,"AMH117 25C, animal 24.oir",25°C,daf-2(e1370)
592126,daf-2(e1370) 25C,0,3.36,0,0,0,3,2,1,0,0,0,3.36,3.36,2,1,3,3,0,0,0,0,3,2,1,3,0,0,"AMH117 25C, animal 23.oir",25°C,daf-2(e1370)
602627,daf-2(e1370) 25C,0,2.83,0,0,0,12,2,10,0,0,0,1.415,1.415,1,5,6,6,0,0,0,0,6,1,5,6,0,0,"AMH117 25C, animal 11.oir",25°C,daf-2(e1370)
603079,daf-2(e1370) 25C,0,3.58,0,0,0,9,2,9,0,0,0,1.79,1.79,1,4.5,5.5,4.5,0,0,0,0,4.5,1,4.5,5.5,0,0,"AMH117 25C, animal 20.oir",25°C,daf-2(e1370)
608308,daf-2(e1370) 25C,0,1.94,0,0,0,4,4,0,0,0,0,1.94,1.94,4,0,4,4,0,0,0,0,4,4,0,4,0,0,"AMH117 25C, animal 40.oir",25°C,daf-2(e1370)
617573,daf-2(e1370) 25C,0,2.02,0,0,0,7,5,2,0,0,0,2.02,2.02,5,2,7,7,0,0,0,0,7,5,2,7,0,0,"AMH117 25C, animal 39.oir",25°C,daf-2(e1370)
690157,daf-2(e1370) 25C,0,3.09,0,0,0,16,15,1,0,0,0,1.545,1.545,7.5,0.5,8,8,0,0,0,0,8,7.5,0.5,8,0,0,"AMH117 25C, animal 50.oir",25°C,daf-2(e1370)
787402,daf-2(e1370) 25C,0,5.53,0,0,0,13,11,2,0,0,0,2.765,2.765,5.5,1,6.5,6.5,0,0,0,0,6.5,5.5,1,6.5,0,0,"AMH117 25C, animal 17.oir",25°C,daf-2(e1370)
844606,daf-2(e1370) 25C,0,2.04,0,1,0,7,4,3,1,0,0,2.04,2.04,5,3,8,7,0,1,0,1,7,4,3,7,1,0,"AMH117 25C, animal 13.oir",25°C,daf-2(e1370)
873600,daf-2(e1370) 25C,0,4.26,0,0,0,7,7,0,0,0,0,2.13,2.13,3.5,0,3.5,3.5,0,0,0,0,3.5,3.5,0,3.5,0,0,"AMH117 25C, animal 16.oir",25°C,daf-2(e1370)
