avg_cell_count_maturity,avg_neurite_count_maturity,avg_soma_count_maturity,temperature,genotype,color
3.5,1,2.5,20°C,unc-33(mn407),yellow
8,0,8,20°C,unc-33(mn407),yellow
1.5,0,1.5,20°C,daf-2(e1370),yellow
4.5,3,1.5,20°C,unc-33(mn407),yellow
0.5,0,0.5,20°C,unc-33(e204),yellow
3,0,3,20°C,control,yellow
6,5,1,20°C,unc-33(mn407),yellow
1.5,0,1.5,20°C,unc-33(e204),yellow
1.5,0.5,1,20°C,unc-33(e204),yellow
2,1.5,0.5,20°C,unc-33(mn407),yellow
3,0,3,20°C,control,yellow
1.5,0,1.5,20°C,control,yellow
3,0,3,20°C,daf-2(e1370),yellow
1,0,1,20°C,unc-33(e204),yellow
3,0,3,20°C,daf-2(e1370),yellow
3.5,0,3.5,20°C,control,yellow
4,0,4,20°C,daf-2(e1370),yellow
2,0,2,20°C,control,yellow
0,0,0,20°C,unc-33(e204),yellow
2,0,2,20°C,control,yellow
2.5,0,2.5,20°C,daf-2(e1370),yellow
2.5,0.5,2,20°C,daf-2(e1370),yellow
1,0,1,20°C,unc-33(e204),yellow
1.5,0,1.5,20°C,daf-2(e1370),yellow
3.5,1,2.5,20°C,unc-33(mn407),yellow
4.5,0.5,4,20°C,unc-33(mn407),yellow
2,0,2,20°C,daf-2(e1370),yellow
3,0,3,20°C,control,yellow
1.5,0,1.5,20°C,unc-33(e204),yellow
2,0.5,1.5,20°C,unc-33(mn407),yellow
7,0,7,20°C,control,yellow
0,0,0,20°C,unc-33(e204),yellow
3,0,3,20°C,daf-2(e1370),yellow
3,3,0,20°C,unc-33(e204),yellow
1,0,1,20°C,unc-33(e204),yellow
2.5,0,2.5,20°C,unc-33(e204),yellow
3.5,0,3.5,20°C,unc-33(mn407),yellow
2,0,2,20°C,unc-33(e204),yellow
4,0.5,3.5,20°C,unc-33(mn407),yellow
4.5,0,4.5,20°C,unc-33(mn407),yellow
1,0,1,20°C,unc-33(mn407),yellow
11,1,10,20°C,unc-33(e204),yellow
1.5,0,1.5,20°C,control,yellow
