"","comparison","z_value","region","p_adjusted"
"1","control - unc-33(e204)",-1.54514859250869,"Neurite",0.122310325588261
"2","control - unc-33(mn407)",-4.11797617628755,"Neurite",0.000114664259075768
"3","unc-33(e204) - unc-33(mn407)",-2.92292840762683,"Neurite",0.00520134353051276
"4","control - unc-33(e204)",3.91905710824217,"Soma",0.00026668815483265
"5","control - unc-33(mn407)",0.671166651838953,"Soma",0.502114370409195
"6","unc-33(e204) - unc-33(mn407)",-3.45968308251307,"Soma",0.000811217229876853
"7","control - unc-33(e204)",3.09853468007702,"Cell",0.00291720310600481
"8","control - unc-33(mn407)",-1.03988437430811,"Cell",0.298393622895644
"9","unc-33(e204) - unc-33(mn407)",-4.4825948940302,"Cell",2.21222502196871e-05
