id,group,area_red_neurite,area_red_soma,neurite_auto_count_total,neurite_auto_count_red,neurite_auto_count_yellow,soma_auto_count_total,soma_red_auto,soma_yellow_auto,n_projection,axonal termination,avg_area_red_neurite,avg_area_red_soma,avg_area_red_cell,avg_cell_auto_count_red,avg_cell_auto_count_yellow,avg_cell_count_sum,avg_cell_auto_count,avg_neurite_auto_count_total,avg_neurite_auto_count_red,avg_neurite_auto_count_yellow,avg_neurite_count_sum,avg_soma_auto_count_total,avg_soma_red_auto,avg_soma_yellow_auto,avg_soma_count_sum,avg_n_projection,avg_axonal_termination,original_fn,temperature,genotype
169487,daf-2(e1370) 20C,0,2.65,0,0,0,11,4,7,0,0,0,1.325,1.325,2,3.5,5.5,5.5,0,0,0,0,5.5,2,3.5,5.5,0,0,"AMH117 20C, animal 33.oir",20°C,daf-2(e1370)
187976,daf-2(e1370) 20C,0,3,0,0,0,15,2,13,0,0,0,1.5,1.5,1,6.5,7.5,7.5,0,0,0,0,7.5,1,6.5,7.5,0,0,"AMH117 20C, animal 8.oir",20°C,daf-2(e1370)
241020,daf-2(e1370) 20C,0,4.02,0,0,0,8,5,3,0,0,0,2.01,2.01,2.5,1.5,4,4,0,0,0,0,4,2.5,1.5,4,0,0,"AMH117 20C, animal 4.oir",20°C,daf-2(e1370)
293777,daf-2(e1370) 20C,0,3.73,0,0,0,10,10,6,0,0,0,1.865,1.865,5,3,8,5,0,0,0,0,5,5,3,8,0,0,"AMH117 20C, animal 20.oir",20°C,daf-2(e1370)
322116,daf-2(e1370) 20C,0.12,1.42,1,0,0,9,6,4,0,0,0.12,1.42,1.54,6,4,10,10,1,0,0,0,9,6,4,10,0,0,"AMH117 20C, animal 24.oir",20°C,daf-2(e1370)
346455,daf-2(e1370) 20C,0,3.94,0,0,0,14,9,5,0,0,0,1.97,1.97,4.5,2.5,7,7,0,0,0,0,7,4.5,2.5,7,0,0,"AMH117 20C, animal 17.oir",20°C,daf-2(e1370)
350777,daf-2(e1370) 20C,0.11,4.53,1,0,1,8,4,4,0,1,0.055,2.265,2.32,2,2.5,4.5,4.5,0.5,0,0.5,0.5,4,2,2,4,0,0.5,"AMH117 20C, animal 5.oir",20°C,daf-2(e1370)
401507,daf-2(e1370) 20C,0,2.93,0,0,0,9,5,4,0,0,0,1.465,1.465,2.5,2,4.5,4.5,0,0,0,0,4.5,2.5,2,4.5,0,0,"AMH117 20C, animal 18.oir",20°C,daf-2(e1370)
448846,daf-2(e1370) 20C,0,3.33,0,0,0,17,12,6,0,0,0,1.665,1.665,6,3,9,8.5,0,0,0,0,8.5,6,3,9,0,0,"AMH117 20C, animal 2.oir",20°C,daf-2(e1370)
550694,daf-2(e1370) 20C,0,2.63,0,0,0,12,6,6,0,0,0,1.315,1.315,3,3,6,6.5,0,0,0,0,6.5,3,3,6,0,0,"AMH117 20C, animal 12.oir",20°C,daf-2(e1370)
601801,daf-2(e1370) 20C,0,3.33,0,0,0,23,11,12,1,0,0,1.665,1.665,5.5,6,11.5,11.5,0,0,0,0,11.5,5.5,6,11.5,0.5,0,"AMH117 20C, animal 10.oir",20°C,daf-2(e1370)
606506,daf-2(e1370) 20C,0,2.33,0,0,0,10,8,2,0,0,0,2.33,2.33,8,2,10,10,0,0,0,0,10,8,2,10,0,0,"AMH117 20C, animal 11.oir",20°C,daf-2(e1370)
619925,daf-2(e1370) 20C,0.04,1.28,1,0,0,4,3,1,0,0,0.04,1.28,1.32,3,1,4,5,1,0,0,0,4,3,1,4,0,0,"AMH117 20C, animal 29.oir",20°C,daf-2(e1370)
